brand,product_name,discounted_price,original_price,product_rating,num_ratings,discount_percentage,model_number
Name,Name not found,Price not found,Price not found,Rating not found,Number of ratings not found,No discount,Model Number not found
Name,Name not found,Price not found,Price not found,Rating not found,Number of ratings not found,No discount,Model Number not found
Name,Name not found,Price not found,Price not found,Rating not found,Number of ratings not found,No discount,Model Number not found
Name,Name not found,Price not found,Price not found,Rating not found,Number of ratings not found,No discount,Model Number not found
Panasonic,"Panasonic 1.5 Ton 5 Star Wi-Fi Inverter Smart Split AC (India's 1st Matter Enabled RAC, Copper Condenser, 7in1 Convertible, True AI, 4 Way Swing, PM 0.1 Filter, CS/CU-NU18ZKY5W, White)","47,490",Bespoke AI Days | 1st -6th April,Rating not found,"4,027",Check each product page for other buying options.,Model Number not found
Panasonic,"Panasonic 1.5 Ton 5 Star Wi-Fi Inverter Smart Split AC (India's 1st Matter Enabled RAC, Copper Condenser, 7in1 Convertible, True AI, 4 Way Swing, PM 0.1 Filter, CS/CU-NU18ZKY5W, White)","47,490","₹47,490",Rating not found,"4,027",Sponsored,Model Number not found
LG,"LG 1.5 Ton 3 Star DUAL Inverter Split AC (Copper, AI Convertible 6-in-1, VIRAAT Mode, Diet Mode+, Faster Cooling & Energy Saving, HD Filter with Anti-Virus Protection, US-Q18JNXE, White)","37,690","₹37,690",Rating not found,"1,039",Sponsored,Model Number not found
Voltas,"Voltas 1.5 ton 3 Star, Inverter Split AC (Copper, 4-in-1 Adjustable Mode, Anti-dust Filter, 183V Vectra CAW, White)","33,990","₹33,990",Rating not found,"3,315",3K+ bought in past month,Model Number not found
Daikin,"Daikin 0.8 Ton 3 Star, Fixed Speed Split AC (Copper, PM 2.5 Filter, 2022 Model, FTL28U, White)","26,490","₹26,490",Rating not found,"1,703",1K+ bought in past month,Model Number not found
Voltas,"Voltas 1 ton 3 Star Inverter Split AC (Copper, 4-in-1 Adjustable Mode, Anti-dust Filter, 123V Vectra CAE, White)","30,990","₹30,990",Rating not found,804,2K+ bought in past month,Model Number not found
Name,Name not found,"35,990","₹35,990",Rating not found,"1,938",3K+ bought in past month,Model Number not found
Name,Name not found,Price not found,Price not found,Rating not found,Number of ratings not found,No discount,Model Number not found
Name,Name not found,"35,990","₹35,990",Rating not found,"1,938",3K+ bought in past month,Model Number not found
Name,Name not found,"37,490","₹37,490",Rating not found,"2,710",1K+ bought in past month,Model Number not found
Name,Name not found,"36,590","₹36,590",Rating not found,"1,898",1K+ bought in past month,Model Number not found
Name,Name not found,"47,990","₹47,990",Rating not found,373,300+ bought in past month,Model Number not found
Carrier,"Carrier 1.5 Ton 3 Star Wi-Fi Smart Flexicool Inverter Split AC (Copper, Convertible 6-in-1 Cooling,Smart Energy Display, HD & PM 2.5 Filter, ESTER EDGE FXi (Wi-Fi), CAI18EE3R35W0,White)","35,990","₹35,990",Rating not found,"1,938",3K+ bought in past month,Model Number not found
