brand,product_name,product_id,discounted_price,original_price
"realme, Philips & more",Best of Hair Dryers,Product ID not found,From 549,From 549
"Philips, Vega, Dyson & more",Best of Hair Curlers,Product ID not found,From 999,From 999
"Oral-B, Mi, realme & more",Electric Toothbrushes,Product ID not found,From 249,From 249
"Philips, Vega & more",Best Selling Trimmers,Product ID not found,From 629,From 629
"Dr. Trust, Dr. Morepen & more",Best of Vaporizers,Product ID not found,From 999,From 999
Braun & Philips,Best of Epilators,Product ID not found,Upto 45% Off,Upto 45% Off
"Trimmers, Dryers & more",Philips Styling Range,Product ID not found,Up to 35% Off,Up to 35% Off
"Veet, Braun, Philips & more",Best of Women Trimmers,Product ID not found,From 599,From 599
Explore your photography skill,Mobile phone Lens,Product ID not found,Grab it!,Grab it!
For viewing pleasure,Screen Phone Expander,Product ID not found,gRAB IT!,gRAB IT!
Keep Your Essentials Handy!!,Mobile Holders,Product ID not found,Protect your Acc,Protect your Acc
"by boAt, Ambrane & More",Micro USB Cables,Product ID not found,For all phones,For all phones
Light up your Selfies!,Mobile Flash,Product ID not found,Light up your picture,Light up your picture
"By Philips, Voltaa & more",Selfie Sticks,Product ID not found,Click picture anywhr,Click picture anywhr
Maintain General Hygiene,Mobile Cleaning Kits,Product ID not found,Clean up your device,Clean up your device
By top brands,Mobile Chargers,Product ID not found,From 99,From 99
Top Selling,Webcam,Product ID not found,Shop Now!,Shop Now!
Top Selling,Keyboards,Product ID not found,Shop Now!!,Shop Now!!
At Low Price,USB Gadgets,Product ID not found,Shop Now!,Shop Now!
"Logitech, Dell, HP...",Keyboards,Product ID not found,Shop Now!,Shop Now!
At Best Prices,Computer Accessories,Product ID not found,Shop Now!!!,Shop Now!!!
At Best Price,Mouse,Product ID not found,Shop Now!!,Shop Now!!
"TP-Link, D-Link...",Routers,Product ID not found,Shop Now!,Shop Now!
