brand,name,price,original_price
THE BEAR HOUSE,Men Printed Oversized T-shirt,Rs. 1599,Rs. 1599
StyleCast x Revolte,Men Relaxed Fit Jeans,Rs. 1631,Rs. 1631
ONEWAY,Unisex Solid Cotton T-shirt,Rs. 559,Rs. 559
THE BEAR HOUSE,Printed Cotton T-shirt,Rs. 1399,Rs. 1399
Roadster,Men Light Fade Skater Jeans,Rs. 839,Rs. 839
DAMENSCH,DEO-SOFT Deodorizing Trunks,Rs. 429,Rs. 429
Styli,Men Fit Shirt & Shorts Co-ords,Rs. 1999,Rs. 1999
Flying Machine,Pure Cotton Relaxed T-shirt,Rs. 454,Rs. 454
THE BEAR HOUSE,Men Striped Cotton T-shirt,Rs. 1899,Rs. 1899
U.S. Polo Assn.,Men Relaxed-Fit Shorts,Rs. 548,Rs. 548
Mast & Harbour,Men Slim Fit Casual Shirt,Rs. 599,Rs. 599
THE BEAR HOUSE,Graphic Printed Cotton T-shirt,Rs. 1399,Rs. 1399
Roadster,Chambray Casual Shirt,Rs. 614,Rs. 614
Sangria,Men Solid Mid Rise Dhoti,Rs. 1319,Rs. 1319
VASTRAMAY,Embroidered Sherwani Set,Rs. 4283,Rs. 4283
Jompers,Embroidered Kurta with Pyjamas,Rs. 1033,Rs. 1033
Levis,Men Solid Trunks,Rs. 187,Rs. 187
Vastraa Fusion,Pure Wool Nehru Jacket,Rs. 1599,Rs. 1599
DAMENSCH,DEO-SOFT Deodorizing Trunks,Rs. 429,Rs. 429
Jompers,Embroidered Pure Cotton Kurta,Rs. 935,Rs. 935
Levis,Pack Of 2 Cotton Trunk,Rs. 363,Rs. 363
HIGHLANDER,Slim Fit Casual Shirt,Rs. 409,Rs. 409
U.S. Polo Assn.,Basic Anti Bacterial Briefs,Rs. 181,Rs. 181
CULT,Moisture Wicking T-shirt,Rs. 604,Rs. 604
Mast & Harbour,Striped Shorts Set,Rs. 849,Rs. 849
VASTRAMAY,Embroidered Sherwani Set,Rs. 4283,Rs. 4283
Levis,Pack of 2 Cotton Neo Briefs,Rs. 263,Rs. 263
HRX by Hrithik Roshan,Men Parachute Track Pants,Rs. 599,Rs. 599
URBAN SCOTTISH,Men Checked Pure Cotton Lounge Pants,Rs. 575,Rs. 575
MANQ,Men Slim Fit Formal Blazer,Rs. 2459,Rs. 2459
Beyoung,Loose-Fit Cotton Lounge Pants,Rs. 899,Rs. 899
Sweet Dreams,Shirt & Shorts Co-Ords,Rs. 899,Rs. 899
Pepe Jeans,Pack Of 2 Pure Cotton Boxers,Rs. 505,Rs. 505
VASTRAMAY,Men Indo-Western Sherwani Set,Rs. 2799,Rs. 2799
Snitch,Men Checked Casual Shirt,Rs. 1199,Rs. 1199
U.S. Polo Assn.,Cotton OELP6 Lounge Pants,Rs. 989,Rs. 989
V-Mart,Woven Designed Nehru Jacket,Rs. 726,Rs. 726
RARE RABBIT,Men Smokey Graphic T-Shirt,Rs. 1239,Rs. 1239
Jompers,Embroidered Kurta Set,Rs. 989,Rs. 989
Levis,Pack of 2 Cotton Briefs,Rs. 244,Rs. 244
U.S. Polo Assn.,Men Lightweight Lounge T-shirt,Rs. 629,Rs. 629
max,Men Solid Lounge Shorts,Rs. 349,Rs. 349
