SECTION,KEY,VALUE
Specifications,,
,In The Box,"1 Indoor Unit, 1 Outdoor Unit, Remote Control, User Manual, Warranty Card, Standard Installation Kit"
,Brand,Daikin
,Model Name,ATKL60UV16V/RKL60UV16V
,Type,Split
,Capacity in Tons,1.8 Ton
,Star Rating,3 Star BEE Rating
,BEE Rating Year,2023
,Color,White
,Cooling and Heating,No
,Cooling Capacity,6000 W
,Compressor,Swing Compressor
,Dehumidification,Yes
,Remote Control,Yes
,Refrigerant,R-32
,Operating Modes,"Auto Mode, Dry Mode, Fan Mode, Cool Mode"
,Condenser Coil,Copper
,Indoor W x H x D,90.6 cm x 29.8 cm x 23.5 cm
,Indoor Unit Weight,11 kg
,Outdoor W x H x D,84.5 cm x 59.5 cm x 30 cm
,Outdoor Unit Weight,33.5 kg
,Indoor Temperature Indicator,Yes
,Turbo Mode,Yes
,ISEER,4 W/W
,Condenser Fin Type,Blue Fin
,Air Circulation,593 CFM
,Auto Air Swing,Yes
,Air Flow Direction,4 Way
,Anti-bacteria Filter,No
,Dust Filter,Yes
,Other Filter Features,Titanium Apatite Deodrizing Air Purifying Filter
,Auto Restart,Yes
,Child Lock,Yes
,Quiet Mode,Yes
,Sleep Mode,Yes
,Self Diagnosis,Yes
,Power Requirement,"AC 130 - 285 V, 50 Hz"
,Annual Electricity Consumption,1161.78 Units
,Operating Current,8.65 A
,LED Backlit Buttons,Yes
,Night Glow Buttons on Remote,Yes
,Battery Type,2 AAA Batteries
,Installation Details,"Please check the offer details to know about availability of installation facilities and charges. The standard installation charges need to be paid directly to the service engineer.
Standard installation of air-conditioners covers only: 
1) Drilling of holes into a brick wall for taking out the pipes. 
2) Fixing a hole sleeve & cap. 
3) Fixing the indoor and outdoor unit. 
4) Connecting indoor and outdoor units using the standard Kit provided by the manufacturer (at additional costunless specified otherwise). 
5) Wrapping the pipe with seasoning tape. 
Not covered as part of standard Installation charges are: 
1) Outdoor unit stand - Rs. 750-1000. 
2) Extra copper wire - Rs. 600-800 per metre. 
3) Drain pipe extensionif any - Rs. 100 per metre. 
4) Wiring extension from the meter to the installation site - Rs. 100 per metre. 
5) Stabilizerif neededis chargeable. 
6) Plumbing and masonry work. 
7) Power-point, MCB fitting and any other electrical work. 
8) Carpentry work. 
9) Dismantling, shifting of the old AC's masonry - Rs. 1000-1500. 
10) Core cutting fabrication and electrical.For Further Details Contact Brand at 011-40319300 / 1860 180 3900customerservice@daikinindia.com"
,Technician Visit Details,Authorized Service Engineer will do the followingProvide replacement to the customer in case part / product not repairable (only after replacement request approved)Repair ServicesRepair/change the defective part
,Uninstallation Details,In case of returnsUninstallPick-up the product.Flipkart's team will visit the customers locationPack
,Warranty Summary,1 Year Warranty on Product and 10 Years Warranty on Compressor and 5 Years Warranty on PCB (Printed Circuit Board)
,Covered in Warranty,Warranty of the Product is Limited to Manufacturing Defects Only
